dataset,dataset_source,method,seed,status,epochs,train_n,test_n,input_kind,seq_len,classes,embed_dim,heads,layers,device,parameter_count,train_seconds,train_loss_last,learned_alpha_mean,attention_nonzero_ratio_last,peak_memory_mb,accuracy,macro_f1,loss,inference_seconds,nonzero_ratio,wall_seconds_total
fashion_mnist,torchvision:fashion_mnist,headwise_adaptive_entmax,8,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104978,23.9516808000044,0.5148770213127136,1.5088611841201782,0.7712911069393158,38.73388671875,0.808,0.8067570684654483,0.5728330044519334,0.4254508000158239,0.7724822277114505,25.761325700004814
fashion_mnist,torchvision:fashion_mnist,headwise_adaptive_entmax,9,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104978,30.0654293000116,0.5796493291854858,1.505113959312439,0.80154088139534,38.73388671875,0.782,0.7739143345644388,0.5933827999092284,0.4684061000007204,0.8002162377039591,31.83940570001141
fashion_mnist,torchvision:fashion_mnist,softmax,0,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,12.05144919999293,0.3853794038295746,,0.9997567236423492,34.54443359375,0.784,0.7876199935191849,0.6075037817160288,0.308469999989029,0.999787769147328,16.6919074000034
fashion_mnist,torchvision:fashion_mnist,softmax,1,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,11.37038079998456,0.6080765724182129,,0.9999783933162688,34.54443359375,0.76,0.7516953171641144,0.648155886502493,0.1678595000121276,0.9999706078143348,14.641839300020363
fashion_mnist,torchvision:fashion_mnist,softmax,2,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,7.216561699984595,0.4558361172676086,,0.9996539950370787,34.54443359375,0.7765,0.775367795089138,0.6254401561759767,0.1029152999981306,0.9996944836207798,9.489101999992272
fashion_mnist,torchvision:fashion_mnist,softmax,3,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,6.517945100000361,0.601595401763916,,0.9998486340045928,34.54443359375,0.7785,0.7742328724482,0.5934048365978968,0.1121871000214014,0.9998204637141456,8.102525900001638
fashion_mnist,torchvision:fashion_mnist,softmax,4,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,10.664627799997106,0.5073176622390747,,1.0,34.54443359375,0.7915,0.7858368041632953,0.5888415049938929,0.1996595000091474,0.9999943716185432,12.99371969999629
fashion_mnist,torchvision:fashion_mnist,softmax,5,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,6.771370300004492,0.5432371497154236,,0.9990322291851044,34.54443359375,0.799,0.7906956962377942,0.5556218453816005,0.1047693000000435,0.9992398619651794,11.066136100009317
fashion_mnist,torchvision:fashion_mnist,softmax,6,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,6.464341799990507,0.5406088829040527,,0.9998972713947296,34.54443359375,0.7715,0.7705528992986823,0.5933448076248169,0.1066827000176999,0.9999219008854456,7.969930400024168
fashion_mnist,torchvision:fashion_mnist,softmax,7,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,6.598576999997022,0.6634232401847839,,0.999545842409134,34.54443359375,0.7725,0.7690032710560051,0.6196324981394268,0.1317664999805856,0.999588499466578,8.132753500016406
